Stage,Bias,Feature,N_pairs,W,Z,r,p_value,q_stage,q_global,Significant_stage,Significant_global,Direction
LSom,Balanced,ATAC,24,138.0,-0.34285714285714286,0.06998542122237653,0.7317059346728588,0.7982246560067551,0.8780471216074306,False,False,SubgA > SubgB
LSom,Balanced,H3K27ac,24,117.5,-0.9285714285714286,0.18954384914393643,0.353037536197654,0.6052072049102639,0.6052072049102639,False,False,SubgB > SubgA
LSom,Balanced,H3K27me3,24,129.5,-0.5857142857142857,0.1195584279215599,0.5580072646753347,0.7982246560067551,0.837010897013002,False,False,SubgB > SubgA
LSom,Balanced,H3K4me3,25,159.5,-0.0807207352795575,0.016144147055911502,0.936802864074707,0.936802864074707,0.977533423382303,False,False,SubgA > SubgB
LSom,SubgA-dominant,ATAC,25,146.0,-0.44396404403756623,0.08879280880751325,0.6720751523971558,0.7982246560067551,0.8780471216074306,False,False,SubgA > SubgB
LSom,SubgA-dominant,H3K27ac,25,70.0,-2.488889337786356,0.4977778675572712,0.011453330516815186,0.04581332206726074,0.05497598648071289,True,False,SubgA > SubgB
LSom,SubgA-dominant,H3K27me3,25,147.0,-0.41705713227771374,0.08341142645554275,0.6915188431739807,0.7982246560067551,0.8780471216074306,False,False,SubgB > SubgA
LSom,SubgA-dominant,H3K4me3,25,105.0,-1.5471474261915188,0.30942948523830377,0.12664812803268433,0.379944384098053,0.37577390670776367,False,False,SubgA > SubgB
LSom,SubgB-dominant,ATAC,25,124.0,-1.0359161027543213,0.20718322055086427,0.312333345413208,0.6052072049102639,0.5766154069166918,False,False,SubgB > SubgA
LSom,SubgB-dominant,H3K27ac,25,30.0,-3.5651658081804563,0.7130331616360912,0.00012022256851196289,0.0014426708221435547,0.0028853416442871094,True,True,SubgB > SubgA
LSom,SubgB-dominant,H3K27me3,25,115.5,-1.2646248527130675,0.2529249705426135,0.21998637914657593,0.5279673099517822,0.4713746997151327,False,False,SubgA > SubgB
LSom,SubgB-dominant,H3K4me3,25,41.0,-3.2691897788220787,0.6538379557644157,0.0005564093589782715,0.003338456153869629,0.004451274871826172,True,True,SubgB > SubgA
PreHatch,Balanced,ATAC,24,107.0,-1.2285714285714286,0.2507810927135159,0.21923253328133308,0.40403545689868514,0.4713746997151327,False,False,SubgA > SubgB
PreHatch,Balanced,H3K27ac,24,108.5,-1.1857142857142857,0.2420329150607188,0.23568734985756634,0.40403545689868514,0.4713746997151327,False,False,No shift
PreHatch,Balanced,H3K27me3,25,152.5,-0.269069117598525,0.053813823519705,0.7914759516716003,0.9497711420059204,0.9045439447675433,False,False,SubgB > SubgA
PreHatch,Balanced,H3K4me3,25,136.5,-0.699579705756165,0.13991594115123301,0.507703959941864,0.761555939912796,0.8123263359069824,False,False,SubgA > SubgB
PreHatch,SubgA-dominant,ATAC,24,137.0,-0.37142857142857144,0.07581753965757457,0.7102901192688726,0.9470534923584969,0.8780471216074306,False,False,No shift
PreHatch,SubgA-dominant,H3K27ac,23,88.0,-1.520747661681184,0.31709780760411865,0.12825695024896136,0.3381965160369873,0.37577390670776367,False,False,SubgA > SubgB
PreHatch,SubgA-dominant,H3K27me3,20,101.5,-0.13066434376564753,0.02921743548953887,0.8959957894590432,0.9774499521371381,0.9774499521371381,False,False,No shift
PreHatch,SubgA-dominant,H3K4me3,25,107.0,-1.4933336026718138,0.2986667205343628,0.14091521501541138,0.3381965160369873,0.37577390670776367,False,False,SubgA > SubgB
PreHatch,SubgB-dominant,ATAC,24,92.5,-1.6428571428571428,0.3353468100238875,0.10039514751436754,0.3381965160369873,0.37577390670776367,False,False,SubgB > SubgA
PreHatch,SubgB-dominant,H3K27ac,25,69.5,-2.5023427936662825,0.5004685587332565,0.010510802268981934,0.0630648136138916,0.05497598648071289,False,False,SubgB > SubgA
PreHatch,SubgB-dominant,H3K27me3,25,160.5,-0.053813823519705,0.010762764703941,0.978915274143219,0.978915274143219,0.978915274143219,False,False,SubgB > SubgA
PreHatch,SubgB-dominant,H3K4me3,25,36.0,-3.403724337621341,0.6807448675242682,0.00028705596923828125,0.003444671630859375,0.003444671630859375,True,True,SubgB > SubgA
