geneName,Exp_Bias,geneID_sgA,ATAC PEAK_MEAN_sgA,H3K27ac PEAK_MEAN_sgA,H3K4me3 PEAK_MEAN_sgA,H3K27me3 PEAK_MEAN_sgA,geneID_sgB,ATAC PEAK_MEAN_sgB,H3K27ac PEAK_MEAN_sgB,H3K4me3 PEAK_MEAN_sgB,H3K27me3 PEAK_MEAN_sgB,baseMean,log2FoldChange_S11_Lsom,padj_S11_Lsom
atp6v1ba,Up_Reg,ENSCCRG00000065139,1.14,0.67,4.07,0.58,ENSCCRG00000010307,0.86,0.38,1.33,0.11,905.3725962,6.018488134,0
soat1,Up_Reg,ENSCCRG00000056506,0.84,0.36,0.77,0.32,ENSCCRG00000035669,1.59,1.33,2.73,0.28,403.6640108,5.822455105,0
pgm1,Up_Reg,ENSCCRG00000073057,1.26,0.92,2.81,0.42,ENSCCRG00000079082,0.5,0.24,0.78,0.44,495.5336798,4.510997322,0
st13,Up_Reg,ENSCCRG00000026570,2.26,1.16,3.44,0.28,ENSCCRG00000010318,2.35,0.61,2.51,0.31,3641.835808,4.508504233,0
cd164,Up_Reg,ENSCCRG00000061578,2.24,0.79,1.83,0.4,ENSCCRG00000033662,1.85,0.81,2.8,0.29,1424.016063,2.970411381,0
LARS1,Up_Reg,ENSCCRG00000040615,1.24,0.74,3.09,0.17,ENSCCRG00000040555,1.72,0.53,2.01,0.28,1581.299106,2.952022415,0
casp3a,Up_Reg,ENSCCRG00000053521,1.98,0.56,2.48,0.22,ENSCCRG00000020216,1.21,0.26,1.24,0.27,1301.407096,2.79130492,0
plp2b,Up_Reg,ENSCCRG00000068908,2.02,0.57,1.82,0.2,ENSCCRG00000078283,2.06,0.68,1.85,0.24,507.8620397,2.784791878,0
diabloa,Up_Reg,ENSCCRG00000055722,0.7,0.38,0.18,0.14,ENSCCRG00000033511,0.69,0.73,1.35,0.31,256.3644835,2.759292171,0
smarca2,Up_Reg,ENSCCRG00000032681,3.53,0.88,1.49,0.3,ENSCCRG00000055138,1.28,0.39,0.94,0.41,403.4224781,6.933713201,2.36E-31
pitpnaa,Up_Reg,ENSCCRG00000033736,2.55,0.53,1.05,0.35,ENSCCRG00000051256,1.89,0.29,0.96,0.33,599.1315877,2.653611739,0
,Up_Reg,ENSCCRG00000033634,2.06,0.82,2.96,0.57,ENSCCRG00000015117,2.43,0.79,2.7,0.43,169.3218477,2.601192417,0.000000005003179245
mib2,Up_Reg,ENSCCRG00000015072,2.73,0.74,1.89,0.42,ENSCCRG00000028907,4.67,0.34,1.62,0.38,1111.282766,2.596268539,0
naprt,Up_Reg,ENSCCRG00000005559,1.46,0.59,1.36,0.18,ENSCCRG00000043181,0.99,0.38,1.43,0.33,400.9014462,2.359961513,2.28E-22
ece2b,Up_Reg,ENSCCRG00000027881,1.36,0.42,1.61,0.4,ENSCCRG00000029364,2.2,0.36,1.02,0.31,174.8402775,2.555886901,0.00002175406644
fpgs,Up_Reg,ENSCCRG00000039826,1.97,0.94,2.44,0.49,ENSCCRG00000047897,1.96,0.96,2.43,0.43,1110.234161,2.553979061,0
ikbkg,Up_Reg,ENSCCRG00000048358,0.63,0.89,2.88,0.25,ENSCCRG00000047671,0.81,0.88,4.07,0.4,1207.382944,2.548455947,0
dag1,Up_Reg,ENSCCRG00000031847,3.38,1.42,3.59,1.17,ENSCCRG00000012418,3.88,1.12,3.29,0.37,1725.712565,2.532627046,0
natd1,Up_Reg,ENSCCRG00000064621,3.19,0.67,2.2,0.2,ENSCCRG00000077389,2.02,0.39,2.12,0.3,1283.304588,2.355258419,1.19E-58
SLC30A8,Up_Reg,ENSCCRG00000020519,0.87,1.37,2.41,0.34,ENSCCRG00000038215,1.33,1.27,4.4,0.3,1152.436321,2.491410615,0.0000003338709971
