geneID_sgA,geneID_sgB,geneName_sgA,geneName_sgB,exonCountA,exonCountB,chrom_sgA,chrom_sgB,baseMean,log2FoldChange_S11_Lsom,padj_S11_Lsom,log2FoldChange_S12_Prehatch,padj_S12_Prehatch,Bias_Magnitude_LSom,Bias_Magnitude_Prehatch
ENSCCRG00000016094,ENSCCRG00000016113,cdk5,cdk5,11,13,CAJNDQ010000015.1,CAJNDQ010000041.1,480.79785867832,-0.581198969784889,0.0036799217112569,-0.840000762073021,1.31442637180985e-05,Moderate_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000011379,ENSCCRG00000000860,ippk,ippk,14,13,CAJNDQ010000044.1,CAJNDQ010000006.1,1301.81429795446,-0.581464929620616,0.0003197510763806,0.207892223699218,0.286159647010266,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000080304,ENSCCRG00000024270,psmd10,psmd10,6,6,CAJNDQ010000021.1,CAJNDQ010000036.1,636.258159865176,-0.582613515322424,0.0095099724963896,-0.701311543562045,0.0021785371577109,Moderate_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000053139,ENSCCRG00000076445,,,12,12,CAJNDQ010000019.1,CAJNDQ010000049.1,1678.22336675363,-0.584208888143134,3.64227966092582e-05,-0.538463158061709,0.000170274891933,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000064125,ENSCCRG00000026465,,,19,19,CAJNDQ010000045.1,CAJNDQ010000026.1,1172.9445922605,-0.584427769078757,0.0170504389491914,-0.313745323282032,0.259587126089152,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000016286,ENSCCRG00000020560,usf2,usf2,11,21,CAJNDQ010000032.1,CAJNDQ010000013.1,1035.60873052054,-0.584443225089293,0.0326909204560905,-0.423855413493065,0.154798232613472,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000047391,ENSCCRG00000034663,sf3b2,sf3b2,23,22,CAJNDQ010000007.1,CAJNDQ010000001.1,4674.54796470777,-0.58502113137028,0.0003477152877949,-0.256353456850851,0.171135111832051,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000002930,ENSCCRG00000017871,vps9d1,vps9d1,16,17,CAJNDQ010000010.1,CAJNDQ010000020.1,315.978486058066,-0.585323800282566,0.0035261853866922,-0.91081964077961,8.78417280621381e-06,Moderate_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000051854,ENSCCRG00000052277,PPHLN1,PPHLN1,14,12,CAJNDQ010000037.1,CAJNDQ010000009.1,1677.36278046515,-0.58682871415322,3.99374030966998e-05,-0.565141909075845,0.0001061037206484,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000040577,ENSCCRG00000044255,baz1b,baz1b,20,20,CAJNDQ010000010.1,CAJNDQ010000020.1,3128.3988269724,-0.587198687051802,0.0028608929439891,-0.317107410101436,0.149251463982599,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000077029,ENSCCRG00000035199,rab22a,rab22a,8,8,CAJNDQ010000017.1,CAJNDQ010000011.1,332.934108026763,-0.588732652133547,0.0059674712389747,-0.735766229232054,0.0004741765138975,Moderate_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000016088,ENSCCRG00000058978,zgc:77151,zgc:77151,11,10,CAJNDQ010000039.1,CAJNDQ010000046.1,1201.26071357512,-0.590319855725219,0.006743314453499,-0.383566884093034,0.107745486716668,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000045020,ENSCCRG00000006645,,,30,30,CAJNDQ010000019.1,CAJNDQ010000049.1,581.210421634553,-0.592090976571692,0.0065611308896384,-0.1312553572919,0.621879859800913,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000076481,ENSCCRG00000019969,ppp2cb,ppp2cb,7,8,CAJNDQ010000033.1,CAJNDQ010000025.1,3153.32300300667,-0.59242466164725,0.0001448457813611,-0.173524863900533,0.36334507962197,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000049169,ENSCCRG00000068099,znf800a,znf800a,7,7,CAJNDQ010000034.1,CAJNDQ010000038.1,1044.23040408787,-0.593435556832837,0.0192294285397898,0.117256590794403,0.739713279530578,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000007707,ENSCCRG00000058781,,,10,9,CAJNDQ010000008.1,CAJNDQ010000016.1,745.610778223385,-0.595152418560566,0.007753496436682,-0.279108068037802,0.278095101368495,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000063964,ENSCCRG00000074866,trim71,trim71,4,4,CAJNDQ010000003.1,CAJNDQ010000048.1,1294.57790290761,-0.597878649082716,0.0005097808809687,-0.4244997575121,0.0229097378763586,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000062446,ENSCCRG00000058141,mob2b,mob2b,5,6,CAJNDQ010000010.1,CAJNDQ010000020.1,481.021775814833,-0.601123221748888,0.0196356967492763,0.066729187108347,0.856817064434298,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000016192,ENSCCRG00000016131,,,31,24,CAJNDQ010000043.1,CAJNDQ010000014.1,1375.56581048121,-0.601734414905522,0.0003833745159754,-0.286543119323879,0.135436635693974,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000026881,ENSCCRG00000059520,katnb1,katnb1,21,29,CAJNDQ010000007.1,CAJNDQ010000001.1,1494.35480766188,-0.602397581408872,8.67298324999827e-06,-0.572321285656632,3.16084568468042e-05,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000082576,ENSCCRG00000051572,pcsk7,pcsk7,18,17,CAJNDQ010000040.1,CAJNDQ010000027.1,2148.45321959418,-0.603596941850182,0.0009043593626259,-0.0069088564741779,0.981702776184448,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000002987,ENSCCRG00000077712,pmpcb,pmpcb,15,18,CAJNDQ010000037.1,CAJNDQ010000009.1,883.63170085444,-0.604214272650057,0.0003386133922291,-0.0989844748356332,0.665148109624978,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000064576,ENSCCRG00000079933,,,16,24,CAJNDQ010000019.1,CAJNDQ010000049.1,1556.13007416901,-0.606556696815504,0.0038903218010705,-0.970053745385408,2.9341752300849e-06,Moderate_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000077009,ENSCCRG00000081017,smap1,smap1,11,11,CAJNDQ010000019.1,CAJNDQ010000049.1,2411.62686586766,-0.606909463405205,5.65446434256788e-12,-0.442515400009623,5.16208748617857e-07,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000056056,ENSCCRG00000006130,,,23,23,CAJNDQ010000003.1,CAJNDQ010000048.1,236.38704246965,-0.607113393270726,0.0137834985651606,0.766366085975494,0.0016199891141654,Moderate_SubgB_Dom,Moderate_SubgA_Dom
ENSCCRG00000016691,ENSCCRG00000011264,zgc:100918,zgc:100918,7,6,CAJNDQ010000033.1,CAJNDQ010000025.1,1458.8541178677,-0.607371971358974,0.000344682879547,-0.271940995947801,0.164247652084151,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000024823,ENSCCRG00000024985,CUL2,CUL2,21,21,CAJNDQ010000015.1,CAJNDQ010000041.1,785.431582259753,-0.607581580613278,3.762225285507e-07,-0.663361140788335,2.28205850429376e-08,Moderate_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000033746,ENSCCRG00000012576,nat16l,nat16l,8,8,CAJNDQ010000007.1,CAJNDQ010000001.1,349.069836572278,-0.60758458657769,0.0421331510899725,-0.326101854857755,0.337214936682259,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000054754,ENSCCRG00000076218,zgc:55781,zgc:55781,7,6,CAJNDQ010000022.1,CAJNDQ010000030.1,753.718661334725,-0.607835551745705,0.0014173913902342,0.248078339928185,0.257447261417757,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000021882,ENSCCRG00000021863,eif4a3,eif4a3,15,13,CAJNDQ010000043.1,CAJNDQ010000014.1,5838.31323556238,-0.607885389999378,8.04271977787701e-08,-0.576730484092349,4.84681890076699e-07,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000019736,ENSCCRG00000076754,arpc5la,arpc5la,5,4,CAJNDQ010000018.1,CAJNDQ010000024.1,349.255883706779,-0.608695310716636,0.0088317880926943,-0.307675348198639,0.241144819060133,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000074796,ENSCCRG00000036205,fbxo28,fbxo28,5,5,CAJNDQ010000019.1,CAJNDQ010000049.1,2033.79208461457,-0.610379351063222,6.97241947213426e-05,-0.438306279030477,0.0067068919898408,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000015977,ENSCCRG00000002191,cnot6b,cnot6b,13,14,CAJNDQ010000021.1,CAJNDQ010000036.1,1493.43328455875,-0.610933936529938,0.0017787382968768,-0.699170697485101,0.0002346870949694,Moderate_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000021140,ENSCCRG00000024737,ism1,ism1,7,7,CAJNDQ010000019.1,CAJNDQ010000049.1,487.3226335575,-0.611213984667026,0.0486182037658677,-0.715723576239011,0.0218056163048595,Moderate_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000004235,ENSCCRG00000028161,,,25,24,CAJNDQ010000019.1,CAJNDQ010000049.1,1065.39219062428,-0.611548493374279,0.0105180349305986,-0.227886697736363,0.433428056189296,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000029375,ENSCCRG00000054568,,,30,27,CAJNDQ010000004.1,CAJNDQ010000002.1,237.613640553787,-0.616705532746296,0.0401208145161393,-1.21102089106211,2.53903865554923e-05,Moderate_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000034784,ENSCCRG00000072958,rbpjb,rbpjb,12,11,CAJNDQ010000007.1,CAJNDQ010000001.1,538.671667212487,-0.617689621290823,0.0009166672519119,-0.585911849414734,0.0021038649179726,Moderate_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000081804,ENSCCRG00000056301,atl3,atl3,14,15,CAJNDQ010000021.1,CAJNDQ010000036.1,1125.94918689138,-0.617884385383619,0.0003326781947981,-0.695916115066254,3.46511807007737e-05,Moderate_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000005954,ENSCCRG00000025633,lrrfip2,lrrfip2,30,28,CAJNDQ010000019.1,CAJNDQ010000049.1,993.592750386242,-0.61857315481124,0.0120099359864752,-0.167492719342726,0.594524515366993,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000017433,ENSCCRG00000051621,pank1b,pank1b,8,7,CAJNDQ010000045.1,CAJNDQ010000026.1,494.849651180726,-0.618674098032298,0.0019053836325028,-0.515552955130284,0.0091230325810999,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000077318,ENSCCRG00000069793,pdhb,pdhb,10,10,CAJNDQ010000044.1,CAJNDQ010000006.1,1147.69120549628,-0.620019106480285,3.68103888132965e-05,-1.3665193600067,7.846004793397959e-22,Moderate_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000007495,ENSCCRG00000031723,prkci,prkci,18,18,CAJNDQ010000022.1,CAJNDQ010000030.1,1878.67729321497,-0.620948536811061,0.0005205417301167,-0.225749539974439,0.292524102626181,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000056705,ENSCCRG00000023454,si:dkey-98f17.5,si:dkey-98f17.5,13,12,CAJNDQ010000008.1,CAJNDQ010000016.1,830.816003996286,-0.62177145134258,0.0249861258655303,-0.574160015005486,0.0256806399856802,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000019230,ENSCCRG00000057898,SAMD8,SAMD8,8,8,CAJNDQ010000045.1,CAJNDQ010000026.1,331.239729486609,-0.62259042407164,0.0429927671906878,-1.16274566098565,5.9467182207993e-05,Moderate_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000024655,ENSCCRG00000077997,tmed10,tmed10,5,5,CAJNDQ010000029.1,CAJNDQ010000035.1,2995.34591085304,-0.622958117321809,1.15536754549352e-06,-0.267813065360157,0.0603350199973904,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000078665,ENSCCRG00000057946,fam117bb,fam117bb,8,8,CAJNDQ010000042.1,CAJNDQ010000047.1,266.156694799069,-0.623172202493234,0.0292961062553325,0.104729050637531,0.799388470112841,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000012166,ENSCCRG00000006982,,,24,30,CAJNDQ010000017.1,CAJNDQ010000011.1,1628.29286227007,-0.623416171056594,0.0025861445812447,-0.145968438586005,0.587483247940258,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000082099,ENSCCRG00000071208,rab1ab,rab1ab,5,5,CAJNDQ010000019.1,CAJNDQ010000049.1,1298.69088872748,-0.623999236314814,4.1838122029077e-07,-0.602856122567682,9.87906669450214e-07,Moderate_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000010088,ENSCCRG00000011809,lmf2a,lmf2a,16,17,CAJNDQ010000010.1,CAJNDQ010000020.1,289.00680150248,-0.626767187261066,0.0396650837222794,-0.680570465422755,0.0261081546208073,Moderate_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000013078,ENSCCRG00000069459,mex3b,mex3b,4,2,CAJNDQ010000007.1,CAJNDQ010000001.1,1785.66964302592,-0.627332448372719,0.0058644238763696,0.0803433545075811,0.810551814621182,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000025033,ENSCCRG00000046595,gtf2e2,gtf2e2,8,8,CAJNDQ010000023.1,CAJNDQ010000028.1,971.233434312593,-0.627458065184613,0.0152473800776983,-0.983522392962311,9.2025231571854e-05,Moderate_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000057708,ENSCCRG00000013872,,,28,30,CAJNDQ010000037.1,CAJNDQ010000009.1,1082.84656953891,-0.628229552994266,0.0370300896942059,-0.332347955739459,0.340758824855698,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000077967,ENSCCRG00000014473,ppp1r26,ppp1r26,9,9,CAJNDQ010000039.1,CAJNDQ010000046.1,1062.3521820047,-0.629153852414958,5.44487267073372e-06,-0.587292340098763,2.08279025794366e-05,Moderate_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000068869,ENSCCRG00000065088,LRCH1,LRCH1,21,22,CAJNDQ010000042.1,CAJNDQ010000047.1,288.691643176082,-0.630822741832022,0.0401259287895763,0.466108469457342,0.163200074744499,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000045952,ENSCCRG00000013666,wdr26b,wdr26b,14,14,CAJNDQ010000029.1,CAJNDQ010000035.1,1701.18705511942,-0.63091826307214,0.0003130499458137,-0.775457516408028,9.04087995316112e-06,Moderate_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000069289,ENSCCRG00000012439,,,13,13,CAJNDQ010000015.1,CAJNDQ010000041.1,868.747406995792,-0.631078335635638,2.74013621201829e-05,-0.064591490009468,0.775971583088293,Moderate_SubgB_Dom,No_Significant_Bias
ENSCCRG00000024736,ENSCCRG00000059408,tasp1,tasp1,15,15,CAJNDQ010000019.1,CAJNDQ010000049.1,625.755154848924,-0.63181020356002,0.0047302840381052,-0.591584661012596,0.0066947516624281,Moderate_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000018356,ENSCCRG00000021855,ptk7a,ptk7a,22,20,CAJNDQ010000044.1,CAJNDQ010000006.1,4020.14570486776,-0.632546762831196,0.0001189170580776,-0.784714593456806,1.62506838523753e-06,Moderate_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000000777,ENSCCRG00000000466,,,25,26,CAJNDQ010000037.1,CAJNDQ010000009.1,5817.50311106425,-0.633048535697341,0.0121073123900871,-0.600166962059612,0.0212043470136577,Moderate_SubgB_Dom,Moderate_SubgB_Dom
