geneID_sgA,geneID_sgB,geneName_sgA,geneName_sgB,exonCountA,exonCountB,chrom_sgA,chrom_sgB,baseMean,log2FoldChange_S11_Lsom,padj_S11_Lsom,log2FoldChange_S12_Prehatch,padj_S12_Prehatch,Bias_Magnitude_LSom,Bias_Magnitude_Prehatch
ENSCCRG00000040726,ENSCCRG00000011107,si:dkey-6n6.1,si:dkey-6n6.1,13,10,CAJNDQ010000018.1,CAJNDQ010000024.1,444.311778243647,6.45435433151195,8.08722685591882e-58,2.92082100538661,3.46004777514473e-16,Extreme_SubgA_Dom,Strong_SubgA_Dom
ENSCCRG00000034064,ENSCCRG00000046363,f5,f5,27,27,CAJNDQ010000042.1,CAJNDQ010000047.1,1990.97398642539,6.32185737380798,1.7206593568216801e-105,2.93823017530086,1.48109766788837e-24,Extreme_SubgA_Dom,Strong_SubgA_Dom
ENSCCRG00000063578,ENSCCRG00000060547,JPH1,JPH1,10,5,CAJNDQ010000015.1,CAJNDQ010000041.1,996.886358846303,6.21490963857793,4.5895835825599094e-36,2.67006081583271,1.32313487047237e-08,Extreme_SubgA_Dom,Strong_SubgA_Dom
ENSCCRG00000058082,ENSCCRG00000060722,,,6,8,CAJNDQ010000003.1,CAJNDQ010000048.1,169.646380829403,5.88216398192501,9.11246114418534e-07,2.15010992573381,0.0003176789519372,Extreme_SubgA_Dom,Strong_SubgA_Dom
ENSCCRG00000013408,ENSCCRG00000079303,,,41,40,CAJNDQ010000022.1,CAJNDQ010000030.1,1114.06283532403,5.18767537733854,1.26018269475006e-106,2.65843384918396,9.688172106420259e-30,Extreme_SubgA_Dom,Strong_SubgA_Dom
ENSCCRG00000068260,ENSCCRG00000041621,ponzr5,ponzr5,5,4,CAJNDQ010000007.1,CAJNDQ010000001.1,516.656716249348,5.18761661357652,2.5042106733279102e-54,2.15555717431977,6.58111702060617e-11,Extreme_SubgA_Dom,Strong_SubgA_Dom
ENSCCRG00000027230,ENSCCRG00000012581,,,21,20,CAJNDQ010000044.1,CAJNDQ010000006.1,254.130538507194,4.63786286621171,4.82751853757829e-15,2.42413879978018,8.9109362381146e-05,Extreme_SubgA_Dom,Strong_SubgA_Dom
ENSCCRG00000057366,ENSCCRG00000072777,,,5,5,CAJNDQ010000017.1,CAJNDQ010000011.1,368.343693270807,4.41161215279018,7.52940173849809e-14,2.9528416548704,1.05715792644692e-06,Extreme_SubgA_Dom,Strong_SubgA_Dom
ENSCCRG00000051571,ENSCCRG00000075452,ccl20b,ccl20b,4,4,CAJNDQ010000015.1,CAJNDQ010000041.1,298.495921202788,4.36277648904894,2.74539018635538e-08,2.16529472651194,0.0018059709007161,Extreme_SubgA_Dom,Strong_SubgA_Dom
ENSCCRG00000069244,ENSCCRG00000015057,ormdl3,ormdl3,4,5,CAJNDQ010000045.1,CAJNDQ010000026.1,347.268251046397,4.23642793053277,4.80963949172515e-41,2.3192221611304,7.89248128817144e-15,Extreme_SubgA_Dom,Strong_SubgA_Dom
ENSCCRG00000080604,ENSCCRG00000061074,plppr2a,plppr2a,14,8,CAJNDQ010000004.1,CAJNDQ010000002.1,595.588905900612,4.19796817068946,5.31063701231489e-84,2.24981900848066,4.67987999274959e-26,Extreme_SubgA_Dom,Strong_SubgA_Dom
ENSCCRG00000011836,ENSCCRG00000065999,znf804a,znf804a,11,5,CAJNDQ010000042.1,CAJNDQ010000047.1,1175.06657539637,4.16705585009052,4.11808121128747e-93,2.29547384549788,1.25899575058523e-70,Extreme_SubgA_Dom,Strong_SubgA_Dom
ENSCCRG00000070274,ENSCCRG00000000785,zgc:91890,zgc:91890,14,5,CAJNDQ010000003.1,CAJNDQ010000048.1,161.547461455502,4.16471671642531,8.01260372610935e-13,2.40056164784834,3.80229534138647e-05,Extreme_SubgA_Dom,Strong_SubgA_Dom
ENSCCRG00000046589,ENSCCRG00000006744,,,40,41,CAJNDQ010000045.1,CAJNDQ010000026.1,1708.6639777997,4.03050372651066,1.05207852555556e-66,2.9537864703236,1.20452090623246e-38,Extreme_SubgA_Dom,Strong_SubgA_Dom
ENSCCRG00000026013,ENSCCRG00000018360,dgat2,dgat2,8,9,CAJNDQ010000033.1,CAJNDQ010000025.1,384.851054125897,4.01473087409617,1.49754967881647e-53,2.32002182019584,6.77710956515717e-19,Extreme_SubgA_Dom,Strong_SubgA_Dom
ENSCCRG00000067882,ENSCCRG00000054473,,,13,14,CAJNDQ010000040.1,CAJNDQ010000027.1,207.152125201905,3.99568283751581,9.788282628573921e-31,2.43179495882509,5.2345441700568e-28,Extreme_SubgA_Dom,Strong_SubgA_Dom
ENSCCRG00000051777,ENSCCRG00000028008,,,24,23,CAJNDQ010000012.1,CAJNDQ010000050.1,203.769868749563,3.93799255412862,6.210306037907299e-41,2.19702881831039,7.579875011548931e-17,Extreme_SubgA_Dom,Strong_SubgA_Dom
ENSCCRG00000002326,ENSCCRG00000060442,cldni,cldni,4,5,CAJNDQ010000004.1,CAJNDQ010000002.1,532.422528922207,3.90097856123091,1.61611777715066e-12,2.81107939507239,6.33536778430666e-07,Extreme_SubgA_Dom,Strong_SubgA_Dom
