geneID_sgA,geneID_sgB,geneName_sgA,geneName_sgB,exonCountA,exonCountB,chrom_sgA,chrom_sgB,baseMean,log2FoldChange_S11_Lsom,padj_S11_Lsom,log2FoldChange_S12_Prehatch,padj_S12_Prehatch,Bias_Magnitude_LSom,Bias_Magnitude_Prehatch
ENSCCRG00000040171,ENSCCRG00000040195,,,21,21,CAJNDQ010000032.1,CAJNDQ010000013.1,292.468161297103,1.99676949016014,0.0020457912820825,1.44144580171045,0.0355387329727,Moderate_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000031289,ENSCCRG00000002904,rpl3,rpl3,10,10,CAJNDQ010000004.1,CAJNDQ010000002.1,11172.5258169414,1.99653767909141,4.84379492190154e-16,2.63427759928834,4.5517098118098296e-27,Moderate_SubgA_Dom,Strong_SubgA_Dom
ENSCCRG00000057684,ENSCCRG00000062819,sdha,sdha,16,16,CAJNDQ010000032.1,CAJNDQ010000013.1,886.723245927889,1.99574087965355,0.0008684123906671,1.85071982788521,0.0024761111487538,Moderate_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000032683,ENSCCRG00000059351,,,30,32,CAJNDQ010000033.1,CAJNDQ010000025.1,2201.37471164516,1.98990152257511,1.28714909446452e-15,2.33127823394934,9.06183935357611e-22,Moderate_SubgA_Dom,Strong_SubgA_Dom
ENSCCRG00000055861,ENSCCRG00000054444,igf2bp1,igf2bp1,16,16,CAJNDQ010000004.1,CAJNDQ010000002.1,2118.42728575214,1.98707294776829,7.39947071526892e-24,1.97827162125601,2.13876144590736e-23,Moderate_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000031105,ENSCCRG00000037795,n6amt1,n6amt1,8,8,CAJNDQ010000023.1,CAJNDQ010000028.1,303.184121032548,1.98494987659263,2.12695420281796e-16,2.11010247701086,1.3328606398257901e-17,Moderate_SubgA_Dom,Strong_SubgA_Dom
ENSCCRG00000047217,ENSCCRG00000061506,eepd1,eepd1,7,7,CAJNDQ010000032.1,CAJNDQ010000013.1,341.147348692804,1.98354793662938,3.42043673922116e-11,0.649752814589424,0.0564812818059363,Moderate_SubgA_Dom,No_Significant_Bias
ENSCCRG00000007516,ENSCCRG00000062103,hmgb1b,hmgb1b,5,6,CAJNDQ010000040.1,CAJNDQ010000027.1,1327.05376563221,1.98012142921404,3.5384005037215e-08,1.23510150396644,0.0010200145417098,Moderate_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000037153,ENSCCRG00000037040,git2a,git2a,21,18,CAJNDQ010000008.1,CAJNDQ010000016.1,1248.02143924383,1.97745001581982,5.90407091230096e-17,1.90591299376581,1.1978499305133701e-15,Moderate_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000016168,ENSCCRG00000014739,,,24,24,CAJNDQ010000022.1,CAJNDQ010000030.1,753.447969521652,1.97666858329495,8.46738195877464e-12,0.696779156648625,0.0306499915090178,Moderate_SubgA_Dom,Moderate_SubgA_Dom
