geneID_sgA,geneID_sgB,geneName_sgA,geneName_sgB,exonCountA,exonCountB,chrom_sgA,chrom_sgB,baseMean,log2FoldChange_S11_Lsom,padj_S11_Lsom,log2FoldChange_S12_Prehatch,padj_S12_Prehatch,Bias_Magnitude_LSom,Bias_Magnitude_Prehatch
ENSCCRG00000007377,ENSCCRG00000067412,,,3,3,CAJNDQ010000003.1,CAJNDQ010000048.1,386.447355965688,7.53026855571296,0.0001466194474272,1.06131990624485,0.617482521352935,Extreme_SubgA_Dom,No_Significant_Bias
ENSCCRG00000018267,ENSCCRG00000054275,ucp1,ucp1,8,7,CAJNDQ010000023.1,CAJNDQ010000028.1,730.414883446304,6.918002928572,1.1832444071391e-17,1.55101118710723,0.0953596744339673,Extreme_SubgA_Dom,No_Significant_Bias
ENSCCRG00000037627,ENSCCRG00000003497,,,11,11,CAJNDQ010000003.1,CAJNDQ010000048.1,162.644208625894,5.98282749201851,3.64794759496977e-26,0.965549262351839,0.134090566654094,Extreme_SubgA_Dom,No_Significant_Bias
ENSCCRG00000020877,ENSCCRG00000059447,sox12,sox12,7,2,CAJNDQ010000043.1,CAJNDQ010000014.1,467.853633990874,5.73506390473422,4.4737512462915097e-26,1.09242759096669,0.0619292408568897,Extreme_SubgA_Dom,No_Significant_Bias
ENSCCRG00000035272,ENSCCRG00000061913,pcgf5b,pcgf5b,9,10,CAJNDQ010000045.1,CAJNDQ010000026.1,175.0628559576,4.57530792735859,6.49947603639352e-05,0.109908030623576,0.933370424635854,Extreme_SubgA_Dom,No_Significant_Bias
ENSCCRG00000057792,ENSCCRG00000031887,fah,fah,14,21,CAJNDQ010000007.1,CAJNDQ010000001.1,290.717809861407,4.34749168476868,1.94994092209657e-10,1.15508103978625,0.143731057791204,Extreme_SubgA_Dom,No_Significant_Bias
ENSCCRG00000071352,ENSCCRG00000047583,,,16,16,CAJNDQ010000029.1,CAJNDQ010000035.1,1695.65716581842,3.76299224278147,1.9464982770552397e-34,0.0901918910698002,0.857121671403783,Extreme_SubgA_Dom,No_Significant_Bias
ENSCCRG00000019853,ENSCCRG00000019807,DYRK4,DYRK4,15,15,CAJNDQ010000034.1,CAJNDQ010000038.1,152.446822280091,3.65197146917077,1.24571107025395e-07,0.153530170723098,0.854534557215024,Extreme_SubgA_Dom,No_Significant_Bias
ENSCCRG00000003704,ENSCCRG00000072550,,,25,25,CAJNDQ010000044.1,CAJNDQ010000006.1,428.261413100123,3.5907474052503,5.35557500581606e-09,-0.0671994098884402,0.948001431701284,Extreme_SubgA_Dom,No_Significant_Bias
ENSCCRG00000071782,ENSCCRG00000045979,foxh1,foxh1,4,4,CAJNDQ010000045.1,CAJNDQ010000026.1,1532.30874522087,3.29488367527782,3.70041314723183e-20,2.36273537818924,0.158856446026277,Extreme_SubgA_Dom,No_Significant_Bias
ENSCCRG00000035888,ENSCCRG00000040595,,,20,13,CAJNDQ010000005.1,CAJNDQ010000031.1,572.319754134657,3.19627340223456,4.5351771862022804e-45,0.248169349457161,0.413468380860113,Extreme_SubgA_Dom,No_Significant_Bias
ENSCCRG00000081966,ENSCCRG00000008310,,,34,26,CAJNDQ010000019.1,CAJNDQ010000049.1,188.994712905687,3.18948726592077,6.05080283870653e-10,0.0239314071070922,0.976709131276503,Extreme_SubgA_Dom,No_Significant_Bias
ENSCCRG00000002181,ENSCCRG00000033493,btg4,btg4,5,4,CAJNDQ010000008.1,CAJNDQ010000016.1,8510.94420450884,2.94460783542816,0.0233257061777686,-1.17260349415527,0.241147270504877,Strong_SubgA_Dom,No_Significant_Bias
