geneID_sgA,geneID_sgB,geneName_sgA,geneName_sgB,exonCountA,exonCountB,chrom_sgA,chrom_sgB,baseMean,log2FoldChange_S11_Lsom,padj_S11_Lsom,log2FoldChange_S12_Prehatch,padj_S12_Prehatch,Bias_Magnitude_LSom,Bias_Magnitude_Prehatch
ENSCCRG00000056663,ENSCCRG00000082183,ipo11,ipo11,30,28,CAJNDQ010000018.1,CAJNDQ010000024.1,1046.5432869176,12.7529730415856,1.33853537614042e-25,8.17021606560774,5.92811655806949e-79,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000000292,ENSCCRG00000063159,umps,umps,6,6,CAJNDQ010000042.1,CAJNDQ010000047.1,362.356806696159,12.4336495804305,2.37906899291189e-23,11.7094601990545,1.0301646269548401e-20,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000051127,ENSCCRG00000008120,glra4b,glra4b,11,10,CAJNDQ010000008.1,CAJNDQ010000016.1,185.648182957751,12.3468556453006,2.9182555726987802e-21,10.3266505261156,1.28128070350014e-25,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000037419,ENSCCRG00000054023,,,23,3,CAJNDQ010000040.1,CAJNDQ010000027.1,934.050003602026,12.0572128055777,7.66182540975101e-23,12.546438989845,1.51301861788895e-24,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000060439,ENSCCRG00000003677,imp3,imp3,7,6,CAJNDQ010000022.1,CAJNDQ010000030.1,353.311521054853,12.0100481940486,2.56413195663058e-22,11.5549303230631,1.27758210653505e-20,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000060370,ENSCCRG00000049072,fgg,fgg,9,10,CAJNDQ010000023.1,CAJNDQ010000028.1,1743.9165835476,11.8148252318623,6.43566570215571e-134,16.2949545500484,1.0226179953495398e-40,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000060660,ENSCCRG00000040170,,,18,8,CAJNDQ010000017.1,CAJNDQ010000011.1,353.107519277175,11.8029893392928,4.82575954300956e-22,12.043876080643,8.29646043091663e-23,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000057131,ENSCCRG00000014537,bdh2,bdh2,11,7,CAJNDQ010000023.1,CAJNDQ010000028.1,375.537023992573,11.550082499788,2.1648305793213702e-20,11.3989736034306,8.80290177290972e-20,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000043153,ENSCCRG00000061611,ift88,ift88,28,14,CAJNDQ010000042.1,CAJNDQ010000047.1,187.112328025734,11.4633043916642,2.41539750742964e-20,11.2154492528906,2.09565202800574e-19,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000006410,ENSCCRG00000006391,atp6v1c1b,atp6v1c1b,14,13,CAJNDQ010000032.1,CAJNDQ010000013.1,658.353897788377,11.308851759569,4.13863126122942e-20,11.1227055042295,2.22756128132461e-19,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000057187,ENSCCRG00000004368,slc25a19,slc25a19,8,8,CAJNDQ010000004.1,CAJNDQ010000002.1,522.652685542784,11.1201547806505,1.5235008871473802e-19,11.7668244769573,1.1198494478795e-21,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000034838,ENSCCRG00000057682,tesca,tesca,8,9,CAJNDQ010000008.1,CAJNDQ010000016.1,467.51729529055,11.0037835764188,5.563188705106899e-17,3.75458211815798,1.8138111401982101e-09,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000009452,ENSCCRG00000009484,polr3f,polr3f,9,7,CAJNDQ010000044.1,CAJNDQ010000006.1,342.341805236883,11.0022446265167,2.43368361884533e-19,11.0716149321687,1.8189292635314502e-19,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000027554,ENSCCRG00000070519,ogfod3,ogfod3,9,10,CAJNDQ010000045.1,CAJNDQ010000026.1,309.900884637466,10.9728614020509,4.68569586665875e-19,11.0216883857648,4.10457533831568e-19,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000030746,ENSCCRG00000005011,rpl7l1,rpl7l1,7,6,CAJNDQ010000029.1,CAJNDQ010000035.1,714.930104690146,10.7801136827767,1.4970455512023302e-35,11.90259265898,2.98261167339147e-25,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000064196,ENSCCRG00000032386,ugt2a1,ugt2a1,12,9,CAJNDQ010000008.1,CAJNDQ010000016.1,201.637544543827,10.701632117374,5.406807332857509e-18,9.08777077689845,1.5317987119135901e-24,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000022334,ENSCCRG00000051210,,,9,10,CAJNDQ010000045.1,CAJNDQ010000026.1,152.017989514131,10.6392671764216,8.10853837535242e-18,9.73747629593469,5.314150305091231e-15,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000058210,ENSCCRG00000038725,gstcd,gstcd,13,4,CAJNDQ010000023.1,CAJNDQ010000028.1,524.201067061102,10.4319297820467,1.97322411362543e-17,7.46339003010516,2.09256535288607e-17,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000046608,ENSCCRG00000063497,zgc:101716,zgc:101716,7,7,CAJNDQ010000003.1,CAJNDQ010000048.1,327.304082282925,10.4047689536453,4.34592416228012e-17,9.73440992440189,5.5466433446992e-15,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000022379,ENSCCRG00000068606,,,10,10,CAJNDQ010000022.1,CAJNDQ010000030.1,766.981671693887,10.1629041632016,1.62767565548928e-16,8.61403671680164,4.67080402272378e-12,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000076069,ENSCCRG00000067725,kars1,kars1,15,14,CAJNDQ010000007.1,CAJNDQ010000001.1,2012.43732466771,10.0363585844199,9.98554427332094e-79,14.4669378498499,3.1793010800877897e-29,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000041533,ENSCCRG00000003018,tm4sf5,tm4sf5,7,5,CAJNDQ010000007.1,CAJNDQ010000001.1,251.706102910187,9.82035269694103,8.52101039627345e-13,8.06432733593346,7.88743580768463e-09,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000077395,ENSCCRG00000002592,pigm,,6,7,CAJNDQ010000015.1,CAJNDQ010000041.1,208.498120829857,9.44253800042989,7.717994656477481e-19,7.34024882965827,4.30561195266502e-41,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000042387,ENSCCRG00000041994,serac1,serac1,18,9,CAJNDQ010000029.1,CAJNDQ010000035.1,247.718880126565,9.41500593950104,3.02447081905762e-14,7.38587321952465,8.40705578266384e-17,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000025490,ENSCCRG00000077534,dpydb,dpydb,24,25,CAJNDQ010000022.1,CAJNDQ010000030.1,273.225233925871,9.40792408698304,2.64147301694244e-50,8.6594097630027,5.09095104859461e-56,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000067198,ENSCCRG00000048740,MRM1,,5,5,CAJNDQ010000008.1,CAJNDQ010000016.1,439.869808036617,9.37590068467984,4.05178889058602e-14,8.08768479695307,1.14286393837183e-10,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000061992,ENSCCRG00000043110,nfu1,nfu1,8,6,CAJNDQ010000018.1,CAJNDQ010000024.1,184.42636368526,9.36844737914478,1.43436314360381e-23,8.97918044244042,5.56274292233658e-27,Extreme_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000077002,ENSCCRG00000058607,xrcc1,xrcc1,26,27,CAJNDQ010000003.1,CAJNDQ010000048.1,341.160702413306,9.33849105445863,3.3942433841067497e-26,7.8665815079752,3.55280452495082e-24,Extreme_SubgA_Dom,Extreme_SubgA_Dom
