geneID_sgA,geneID_sgB,geneName_sgA,geneName_sgB,exonCountA,exonCountB,chrom_sgA,chrom_sgB,baseMean,log2FoldChange_S11_Lsom,padj_S11_Lsom,log2FoldChange_S12_Prehatch,padj_S12_Prehatch
ENSCCRG00000056663,ENSCCRG00000082183,ipo11,ipo11,30,28,CAJNDQ010000018.1,CAJNDQ010000024.1,1046.5432869176,12.7529730415856,1.33853537614042e-25,8.17021606560774,5.92811655806949e-79
ENSCCRG00000000292,ENSCCRG00000063159,umps,umps,6,6,CAJNDQ010000042.1,CAJNDQ010000047.1,362.356806696159,12.4336495804305,2.37906899291189e-23,11.7094601990545,1.03016462695484e-20
ENSCCRG00000051127,ENSCCRG00000008120,glra4b,glra4b,11,10,CAJNDQ010000008.1,CAJNDQ010000016.1,185.648182957751,12.3468556453006,2.91825557269878e-21,10.3266505261156,1.28128070350014e-25
ENSCCRG00000037419,ENSCCRG00000054023,,,23,3,CAJNDQ010000040.1,CAJNDQ010000027.1,934.050003602026,12.0572128055777,7.66182540975101e-23,12.546438989845,1.51301861788895e-24
ENSCCRG00000060439,ENSCCRG00000003677,imp3,imp3,7,6,CAJNDQ010000022.1,CAJNDQ010000030.1,353.311521054853,12.0100481940486,2.56413195663058e-22,11.5549303230631,1.27758210653505e-20
ENSCCRG00000060370,ENSCCRG00000049072,fgg,fgg,9,10,CAJNDQ010000023.1,CAJNDQ010000028.1,1743.9165835476,11.8148252318623,6.43566570215571e-134,16.2949545500484,1.02261799534954e-40
ENSCCRG00000060660,ENSCCRG00000040170,,,18,8,CAJNDQ010000017.1,CAJNDQ010000011.1,353.107519277175,11.8029893392928,4.82575954300956e-22,12.043876080643,8.29646043091663e-23
ENSCCRG00000057131,ENSCCRG00000014537,bdh2,bdh2,11,7,CAJNDQ010000023.1,CAJNDQ010000028.1,375.537023992573,11.550082499788,2.16483057932137e-20,11.3989736034306,8.80290177290972e-20
ENSCCRG00000043153,ENSCCRG00000061611,ift88,ift88,28,14,CAJNDQ010000042.1,CAJNDQ010000047.1,187.112328025734,11.4633043916642,2.41539750742964e-20,11.2154492528906,2.09565202800574e-19
ENSCCRG00000006410,ENSCCRG00000006391,atp6v1c1b,atp6v1c1b,14,13,CAJNDQ010000032.1,CAJNDQ010000013.1,658.353897788377,11.308851759569,4.13863126122942e-20,11.1227055042295,2.22756128132461e-19
