Gene stable ID	Common carp gene name	Gene name	Common carp gene stable ID	Common carp orthology confidence [0 low, 1 high]	Common carp homology type
ENSDARG00000063344	fam162a	fam162a	ENSCCRG00000055380	1	ortholog_one2many
ENSDARG00000063344	fam162a	fam162a	ENSCCRG00000050627	1	ortholog_one2many
ENSDARG00000036008	caly	caly	ENSCCRG00000037916	1	ortholog_one2many
ENSDARG00000036008	caly	caly	ENSCCRG00000045194	1	ortholog_one2many
ENSDARG00000069301	tmem177	tmem177	ENSCCRG00000078708	1	ortholog_one2many
ENSDARG00000069301	tmem177	tmem177	ENSCCRG00000007859	1	ortholog_one2many
ENSDARG00000031836	vps37c	vps37c	ENSCCRG00000078747	1	ortholog_one2many
ENSDARG00000031836	vps37c	vps37c	ENSCCRG00000075699	1	ortholog_one2many
ENSDARG00000070447	slc39a9	slc39a9	ENSCCRG00000066819	1	ortholog_one2many
ENSDARG00000070447	slc39a9	slc39a9	ENSCCRG00000017539	1	ortholog_one2many
ENSDARG00000029612	gpkow	gpkow	ENSCCRG00000051337	1	ortholog_one2many
ENSDARG00000029612	gpkow	gpkow	ENSCCRG00000031053	1	ortholog_one2many
ENSDARG00000075759	samd4a	samd4a	ENSCCRG00000076406	1	ortholog_one2many
ENSDARG00000075759	samd4a	samd4a	ENSCCRG00000048720	1	ortholog_one2many
ENSDARG00000032737	gria3a	gria3a	ENSCCRG00000037188	1	ortholog_one2many
ENSDARG00000032737	gria3a	gria3a	ENSCCRG00000035742	1	ortholog_one2many
ENSDARG00000015793	creb3l1	creb3l1	ENSCCRG00000016767	1	ortholog_one2many
ENSDARG00000015793	creb3l1	creb3l1	ENSCCRG00000016787	1	ortholog_one2many
ENSDARG00000078805	ap5b1	ap5b1	ENSCCRG00000025788	1	ortholog_one2many
ENSDARG00000078805	ap5b1	ap5b1	ENSCCRG00000070598	1	ortholog_one2many
ENSDARG00000058893	nhej1	nhej1	ENSCCRG00000012452	1	ortholog_one2many
ENSDARG00000058893	nhej1	nhej1	ENSCCRG00000030548	1	ortholog_one2many
ENSDARG00000039490	pitpnaa	pitpnaa	ENSCCRG00000051256	1	ortholog_one2many
ENSDARG00000039490	pitpnaa	pitpnaa	ENSCCRG00000033736	1	ortholog_one2many
ENSDARG00000033099	kif7	kif7	ENSCCRG00000021446	1	ortholog_one2many
ENSDARG00000033099	kif7	kif7	ENSCCRG00000017349	1	ortholog_one2many
ENSDARG00000024184	narf	narf	ENSCCRG00000018013	1	ortholog_one2many
ENSDARG00000024184	narf	narf	ENSCCRG00000050484	1	ortholog_one2many
ENSDARG00000009341	nrap	nrap	ENSCCRG00000001893	1	ortholog_one2many
ENSDARG00000009341	nrap	nrap	ENSCCRG00000023902	1	ortholog_one2many
ENSDARG00000016977	snx27b	snx27b	ENSCCRG00000058507	1	ortholog_one2many
ENSDARG00000016977	snx27b	snx27b	ENSCCRG00000078985	1	ortholog_one2many
ENSDARG00000058538	alcamb	alcamb	ENSCCRG00000011173	1	ortholog_one2many
ENSDARG00000058538	alcamb	alcamb	ENSCCRG00000050986	1	ortholog_one2many
ENSDARG00000054533	araf	araf	ENSCCRG00000017701	1	ortholog_one2many
ENSDARG00000054533	araf	araf	ENSCCRG00000017614	1	ortholog_one2many
ENSDARG00000038154	isca2	isca2	ENSCCRG00000063891	1	ortholog_one2many
ENSDARG00000038154	isca2	isca2	ENSCCRG00000064620	1	ortholog_one2many
ENSDARG00000037652	ints15	ints15	ENSCCRG00000032430	1	ortholog_one2many
ENSDARG00000037652	ints15	ints15	ENSCCRG00000080483	1	ortholog_one2many
ENSDARG00000011821	plod2	plod2	ENSCCRG00000011472	1	ortholog_one2many
ENSDARG00000011821	plod2	plod2	ENSCCRG00000002279	1	ortholog_one2many
ENSDARG00000057074	rpgrb	rpgrb	ENSCCRG00000062412	1	ortholog_one2many
ENSDARG00000057074	rpgrb	rpgrb	ENSCCRG00000039169	1	ortholog_one2many
ENSDARG00000077950	tor1	tor1	ENSCCRG00000055539	1	ortholog_one2many
ENSDARG00000077950	tor1	tor1	ENSCCRG00000035266	1	ortholog_one2many
ENSDARG00000077950	tor1	tor1	ENSCCRG00000075223	1	ortholog_one2many
ENSDARG00000077950	tor1	tor1	ENSCCRG00000007313	1	ortholog_one2many
ENSDARG00000079355	flrt2	flrt2	ENSCCRG00000065181	1	ortholog_one2many
ENSDARG00000079355	flrt2	flrt2	ENSCCRG00000059503	1	ortholog_one2many
ENSDARG00000044251	rasgef1bb	rasgef1bb	ENSCCRG00000025409	1	ortholog_one2many
ENSDARG00000044251	rasgef1bb	rasgef1bb	ENSCCRG00000035322	1	ortholog_one2many
ENSDARG00000003144	pxmp2	pxmp2	ENSCCRG00000075324	1	ortholog_one2many
ENSDARG00000003144	pxmp2	pxmp2	ENSCCRG00000061027	1	ortholog_one2many
ENSDARG00000016968	tmem214	tmem214	ENSCCRG00000077781	1	ortholog_one2many
ENSDARG00000016968	tmem214	tmem214	ENSCCRG00000080818	1	ortholog_one2many
ENSDARG00000017522	ctdp1	ctdp1	ENSCCRG00000079408	1	ortholog_one2many
ENSDARG00000017522	ctdp1	ctdp1	ENSCCRG00000040245	1	ortholog_one2many
ENSDARG00000077860	ankhd1	ankhd1	ENSCCRG00000029016	1	ortholog_one2many
ENSDARG00000077860	ankhd1	ankhd1	ENSCCRG00000030297	1	ortholog_one2many
ENSDARG00000045873	frs2a	frs2a	ENSCCRG00000027909	1	ortholog_one2many
ENSDARG00000045873	frs2a	frs2a	ENSCCRG00000013888	1	ortholog_one2many
ENSDARG00000045641	usp3	usp3	ENSCCRG00000070057	1	ortholog_one2many
ENSDARG00000045641	usp3	usp3	ENSCCRG00000062678	1	ortholog_one2many
ENSDARG00000103025	hmgcs1	hmgcs1	ENSCCRG00000049931	1	ortholog_one2many
ENSDARG00000103025	hmgcs1	hmgcs1	ENSCCRG00000082677	1	ortholog_one2many
ENSDARG00000019135	ankef1a	ankef1a	ENSCCRG00000034142	1	ortholog_one2many
ENSDARG00000019135	ankef1a	ankef1a	ENSCCRG00000032559	1	ortholog_one2many
ENSDARG00000056683	cdk5	cdk5	ENSCCRG00000016113	1	ortholog_one2many
ENSDARG00000056683	cdk5	cdk5	ENSCCRG00000016094	1	ortholog_one2many
ENSDARG00000042515	gpr176	gpr176	ENSCCRG00000046879	1	ortholog_one2many
ENSDARG00000042515	gpr176	gpr176	ENSCCRG00000077749	1	ortholog_one2many
ENSDARG00000036943	golph3l	golph3l	ENSCCRG00000053701	1	ortholog_one2many
ENSDARG00000036943	golph3l	golph3l	ENSCCRG00000012478	1	ortholog_one2many
ENSDARG00000019293	tfdp1a	tfdp1a	ENSCCRG00000038626	1	ortholog_one2many
ENSDARG00000019293	tfdp1a	tfdp1a	ENSCCRG00000044013	1	ortholog_one2many
ENSDARG00000007250	use1	use1	ENSCCRG00000047967	1	ortholog_one2many
ENSDARG00000007250	use1	use1	ENSCCRG00000054847	1	ortholog_one2many
ENSDARG00000044753	idh3b	idh3b	ENSCCRG00000017081	1	ortholog_one2many
ENSDARG00000044753	idh3b	idh3b	ENSCCRG00000048275	1	ortholog_one2many
ENSDARG00000006560	irf4a	irf4a	ENSCCRG00000074644	1	ortholog_one2many
ENSDARG00000006560	irf4a	irf4a	ENSCCRG00000005329	1	ortholog_one2many
ENSDARG00000002377	mief2	mief2	ENSCCRG00000027425	1	ortholog_one2many
ENSDARG00000002377	mief2	mief2	ENSCCRG00000013833	1	ortholog_one2many
ENSDARG00000052129	boka	boka	ENSCCRG00000016961	1	ortholog_one2many
ENSDARG00000052129	boka	boka	ENSCCRG00000013095	1	ortholog_one2many
ENSDARG00000056740	tmeff1b	tmeff1b	ENSCCRG00000027320	1	ortholog_one2many
ENSDARG00000056740	tmeff1b	tmeff1b	ENSCCRG00000029466	1	ortholog_one2many
ENSDARG00000052851	golph3a	golph3a	ENSCCRG00000074413	1	ortholog_one2many
ENSDARG00000052851	golph3a	golph3a	ENSCCRG00000072296	1	ortholog_one2many
ENSDARG00000003818	prkag1	prkag1	ENSCCRG00000013398	1	ortholog_one2many
