geneID_sgA,geneID_sgB,geneName_sgA,geneName_sgB,exonCountA,exonCountB,chrom_sgA,chrom_sgB,baseMean,log2FoldChange_S11_Lsom,padj_S11_Lsom,log2FoldChange_S12_Prehatch,padj_S12_Prehatch,Bias_Magnitude_LSom,Bias_Magnitude_Prehatch
ENSCCRG00000062542,ENSCCRG00000064463,ptpn22,ptpn22,28,28,CAJNDQ010000012.1,CAJNDQ010000050.1,174.037977312132,2.99236040329057,2.80113038832848e-12,1.69144276143234,0.0001337154522013,Strong_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000036577,ENSCCRG00000024701,vac14,vac14,19,19,CAJNDQ010000034.1,CAJNDQ010000038.1,1250.94891044599,2.98843666770409,2.01765988516299e-24,1.86269654659703,4.36881432208082e-10,Strong_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000073401,ENSCCRG00000050732,JADE2,JADE2,15,11,CAJNDQ010000039.1,CAJNDQ010000046.1,230.070680991004,2.98705121910796,9.94553827125996e-17,3.84926242739524,2.7804784518667303e-25,Strong_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000027876,ENSCCRG00000008904,PHKB,PHKB,32,29,CAJNDQ010000007.1,CAJNDQ010000001.1,384.413100820508,2.98139632395497,9.86679329341744e-13,3.06186911165368,8.33770687059187e-14,Strong_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000019001,ENSCCRG00000036556,MYO5A,MYO5A,42,43,CAJNDQ010000010.1,CAJNDQ010000020.1,432.41145506917,2.97925436133146,4.6563304813617e-11,1.12823634867291,0.022930991332677,Strong_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000061578,ENSCCRG00000033662,cd164,cd164,6,6,CAJNDQ010000029.1,CAJNDQ010000035.1,1424.01606316288,2.97041138062898,3.56514195774802e-54,2.67574937231963,6.64505213661752e-45,Strong_SubgA_Dom,Strong_SubgA_Dom
ENSCCRG00000030994,ENSCCRG00000041778,,,23,18,CAJNDQ010000012.1,CAJNDQ010000050.1,562.025696456332,2.95898994509233,2.0785227347191398e-57,1.8856375243313,2.83595970082609e-27,Strong_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000024866,ENSCCRG00000072115,akip1,akip1,5,6,CAJNDQ010000010.1,CAJNDQ010000020.1,346.530552218124,2.95842218996812,0.0492598957369279,3.77001130136862,0.0139439122866205,Strong_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000068922,ENSCCRG00000037567,CERS3,,15,15,CAJNDQ010000007.1,CAJNDQ010000001.1,351.023327370256,2.95253588398439,4.1980028467824e-30,2.02019715546944,3.08427693952669e-14,Strong_SubgA_Dom,Strong_SubgA_Dom
ENSCCRG00000040615,ENSCCRG00000040555,LARS1,LARS1,34,32,CAJNDQ010000039.1,CAJNDQ010000046.1,1581.29910613155,2.95202241542673,1.55505805601072e-87,2.48594684203277,1.15720590692599e-66,Strong_SubgA_Dom,Strong_SubgA_Dom
ENSCCRG00000002181,ENSCCRG00000033493,btg4,btg4,5,4,CAJNDQ010000008.1,CAJNDQ010000016.1,8510.94420450884,2.94460783542816,0.0233257061777686,-1.17260349415527,0.241147270504877,Strong_SubgA_Dom,No_Significant_Bias
ENSCCRG00000057189,ENSCCRG00000005433,kri1,kri1,27,19,CAJNDQ010000004.1,CAJNDQ010000002.1,1907.36893462205,2.91185170001876,5.46406364052739e-35,3.57570633581416,5.122306564406899e-50,Strong_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000004789,ENSCCRG00000052858,mcm10,mcm10,18,16,CAJNDQ010000037.1,CAJNDQ010000009.1,773.446506831775,2.90308006361506,7.02303117929773e-19,3.08060601207854,4.6037952975643303e-20,Strong_SubgA_Dom,Extreme_SubgA_Dom
ENSCCRG00000058769,ENSCCRG00000013130,trim101,trim101,15,9,CAJNDQ010000012.1,CAJNDQ010000050.1,277.78609802833,2.89164688138093,1.83200413205477e-29,1.37228192814666,9.53722656126728e-08,Strong_SubgA_Dom,Moderate_SubgA_Dom
