geneID_sgA,geneID_sgB,geneName_sgA,geneName_sgB,exonCountA,exonCountB,chrom_sgA,chrom_sgB,baseMean,log2FoldChange_S11_Lsom,padj_S11_Lsom,log2FoldChange_S12_Prehatch,padj_S12_Prehatch,Bias_Magnitude_LSom,Bias_Magnitude_Prehatch
ENSCCRG00000013647,ENSCCRG00000077362,,,48,48,CAJNDQ010000019.1,CAJNDQ010000049.1,179.332742722135,1.52373825731919,2.67738662215946e-06,-0.970936192549782,0.0063203545676464,Moderate_SubgA_Dom,Moderate_SubgB_Dom
ENSCCRG00000045202,ENSCCRG00000036520,trpv6,trpv6,19,20,CAJNDQ010000003.1,CAJNDQ010000048.1,332.944628809378,1.46515453880968,0.0013568373104944,-1.89370844718176,4.26743708981068e-05,Moderate_SubgA_Dom,Moderate_SubgB_Dom
ENSCCRG00000075047,ENSCCRG00000070351,tmem65,tmem65,8,8,CAJNDQ010000032.1,CAJNDQ010000013.1,665.559479318744,1.38847911062165,9.87653440013575e-10,-0.787383806049176,0.0006217026334131,Moderate_SubgA_Dom,Moderate_SubgB_Dom
ENSCCRG00000045851,ENSCCRG00000029439,,,37,37,CAJNDQ010000005.1,CAJNDQ010000031.1,340.354221790256,1.1919584881245,0.0325780935779644,-1.38232258724795,0.0017819759102827,Moderate_SubgA_Dom,Moderate_SubgB_Dom
ENSCCRG00000003812,ENSCCRG00000076966,nkain4,nkain4,8,7,CAJNDQ010000012.1,CAJNDQ010000050.1,242.197490966011,0.955651099413459,0.0009787996700364,-0.630329933766509,0.0440084333687531,Moderate_SubgA_Dom,Moderate_SubgB_Dom
ENSCCRG00000056765,ENSCCRG00000039785,,,9,6,CAJNDQ010000021.1,CAJNDQ010000036.1,2850.88836750473,0.89222714054451,0.0199821409352841,-0.836384296050345,0.0348618831228203,Moderate_SubgA_Dom,Moderate_SubgB_Dom
ENSCCRG00000052307,ENSCCRG00000001978,hecw1b,hecw1b,29,28,CAJNDQ010000022.1,CAJNDQ010000030.1,419.214359288582,0.859885582454577,0.019054992586179,-0.989510980477724,0.0056580627225559,Moderate_SubgA_Dom,Moderate_SubgB_Dom
ENSCCRG00000041230,ENSCCRG00000026232,gsnb,gsnb,18,18,CAJNDQ010000008.1,CAJNDQ010000016.1,283.43876151846,0.840292456023348,0.0751826460335649,-1.15663832026988,0.0126488034762139,No_Significant_Bias,Moderate_SubgB_Dom
ENSCCRG00000053920,ENSCCRG00000070945,atg4da,atg4da,10,13,CAJNDQ010000023.1,CAJNDQ010000028.1,926.225533276567,0.832749803257996,1.60648748427047e-06,-0.761688562362513,1.38652705403931e-05,Moderate_SubgA_Dom,Moderate_SubgB_Dom
ENSCCRG00000027496,ENSCCRG00000003349,bco1,bco1,12,14,CAJNDQ010000007.1,CAJNDQ010000001.1,424.752813782549,0.742706556757732,0.19857580774789,-1.63924915342839,0.0022920377419043,No_Significant_Bias,Moderate_SubgB_Dom
