geneID_sgA,geneID_sgB,geneName_sgA,geneName_sgB,exonCountA,exonCountB,chrom_sgA,chrom_sgB,baseMean,log2FoldChange_S11_Lsom,padj_S11_Lsom,log2FoldChange_S12_Prehatch,padj_S12_Prehatch,Bias_Magnitude_LSom,Bias_Magnitude_Prehatch
ENSCCRG00000057820,ENSCCRG00000079732,,,13,13,CAJNDQ010000008.1,CAJNDQ010000016.1,519.151995350505,-3.00268261299161,0.0016717990569612,-5.61768045108132,9.93564394262779e-10,Extreme_SubgB_Dom,Extreme_SubgB_Dom
ENSCCRG00000054537,ENSCCRG00000061538,pcbd1,pcbd1,4,6,CAJNDQ010000019.1,CAJNDQ010000049.1,367.675060159561,-3.00822392961184,6.68198047651546e-14,-2.69616792837032,1.54228701579567e-11,Extreme_SubgB_Dom,Strong_SubgB_Dom
ENSCCRG00000070627,ENSCCRG00000029754,abcb4,abcb4,30,30,CAJNDQ010000003.1,CAJNDQ010000048.1,292.288362080963,-3.00938655221188,4.03373920347967e-06,-0.950701577476008,0.12025742373464,Extreme_SubgB_Dom,No_Significant_Bias
ENSCCRG00000032825,ENSCCRG00000037093,soul2,soul2,6,5,CAJNDQ010000019.1,CAJNDQ010000049.1,508.265608203473,-3.03138193958753,4.69252573360585e-38,-1.08332147834314,1.06146463093858e-05,Extreme_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000020516,ENSCCRG00000003792,arhgef1a,arhgef1a,27,28,CAJNDQ010000032.1,CAJNDQ010000013.1,472.519051793881,-3.0323780038172,6.0188194742535e-06,-1.99687118479622,0.0048555753974892,Extreme_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000069231,ENSCCRG00000032797,eif3m,eif3m,11,12,CAJNDQ010000010.1,CAJNDQ010000020.1,1883.08013844344,-3.03473636706024,1.91949633222486e-93,-2.93454638700341,1.34157989513757e-86,Extreme_SubgB_Dom,Strong_SubgB_Dom
ENSCCRG00000042957,ENSCCRG00000071639,SLC35E2B,SLC35E2B,11,9,CAJNDQ010000018.1,CAJNDQ010000024.1,684.69582359356,-3.04494176808105,1.5322205351332397e-11,-4.15196807101951,1.10217923290329e-19,Extreme_SubgB_Dom,Extreme_SubgB_Dom
ENSCCRG00000025758,ENSCCRG00000030398,,,23,23,CAJNDQ010000017.1,CAJNDQ010000011.1,235.219578622551,-3.04623644221,5.98805250471431e-11,-1.71385179640007,0.0007008838968301,Extreme_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000052916,ENSCCRG00000060555,,,28,33,CAJNDQ010000045.1,CAJNDQ010000026.1,1446.45476231896,-3.04716620552741,1.2648838048171399e-92,-2.76018982217111,1.0378539205814899e-77,Extreme_SubgB_Dom,Strong_SubgB_Dom
ENSCCRG00000032580,ENSCCRG00000004860,mtmr7a,mtmr7a,15,18,CAJNDQ010000021.1,CAJNDQ010000036.1,410.803109955395,-3.04976901596722,2.12295554296156e-53,1.71018443989568,2.55009808346325e-14,Extreme_SubgB_Dom,Moderate_SubgA_Dom
ENSCCRG00000043929,ENSCCRG00000041199,scin,scin,17,17,CAJNDQ010000032.1,CAJNDQ010000013.1,218.053077253324,-3.05121294304642,3.0845488322006302e-21,-1.88578782869605,9.01656996466614e-09,Extreme_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000050195,ENSCCRG00000004367,cdk2,cdk2,8,9,CAJNDQ010000043.1,CAJNDQ010000014.1,1364.95333313509,-3.05275690414848,2.69857407637551e-46,-2.77036524580905,3.19138513763869e-38,Extreme_SubgB_Dom,Strong_SubgB_Dom
ENSCCRG00000042099,ENSCCRG00000070515,,,4,13,CAJNDQ010000012.1,CAJNDQ010000050.1,1471.63940312792,-3.05810039720998,8.66371882529755e-71,-2.81212154601545,1.07292532833095e-56,Extreme_SubgB_Dom,Strong_SubgB_Dom
ENSCCRG00000046879,ENSCCRG00000077749,gpr176,gpr176,3,7,CAJNDQ010000029.1,CAJNDQ010000035.1,235.592748919549,-3.05836259563544,1.41520657088349e-20,-1.37604970136047,2.35372280581581e-06,Extreme_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000021333,ENSCCRG00000040295,,,19,19,CAJNDQ010000044.1,CAJNDQ010000006.1,223.935118948465,-3.06002688559179,8.84039464681469e-13,-0.876516669449536,0.0627413784728775,Extreme_SubgB_Dom,No_Significant_Bias
