geneID_sgA,geneID_sgB,geneName_sgA,geneName_sgB,exonCountA,exonCountB,chrom_sgA,chrom_sgB,baseMean,log2FoldChange_S11_Lsom,padj_S11_Lsom,log2FoldChange_S12_Prehatch,padj_S12_Prehatch,Bias_Category_LSom,Bias_Category_PHatch
ENSCCRG00000016094,ENSCCRG00000016113,cdk5,cdk5,11,13,CAJNDQ010000015.1,CAJNDQ010000041.1,480.79785867832,-0.581198969784889,0.0036799217112569,-0.840000762073021,1.31442637180985e-05,SubgB_dominant,SubgB_dominant
ENSCCRG00000011379,ENSCCRG00000000860,ippk,ippk,14,13,CAJNDQ010000044.1,CAJNDQ010000006.1,1301.81429795446,-0.581464929620616,0.0003197510763806,0.207892223699218,0.286159647010266,SubgB_dominant,Balanced
ENSCCRG00000080304,ENSCCRG00000024270,psmd10,psmd10,6,6,CAJNDQ010000021.1,CAJNDQ010000036.1,636.258159865176,-0.582613515322424,0.0095099724963896,-0.701311543562045,0.0021785371577109,SubgB_dominant,SubgB_dominant
ENSCCRG00000053139,ENSCCRG00000076445,,,12,12,CAJNDQ010000019.1,CAJNDQ010000049.1,1678.22336675363,-0.584208888143134,3.64227966092582e-05,-0.538463158061709,0.000170274891933,SubgB_dominant,Balanced
ENSCCRG00000064125,ENSCCRG00000026465,,,19,19,CAJNDQ010000045.1,CAJNDQ010000026.1,1172.9445922605,-0.584427769078757,0.0170504389491914,-0.313745323282032,0.259587126089152,SubgB_dominant,Balanced
ENSCCRG00000016286,ENSCCRG00000020560,usf2,usf2,11,21,CAJNDQ010000032.1,CAJNDQ010000013.1,1035.60873052054,-0.584443225089293,0.0326909204560905,-0.423855413493065,0.154798232613472,SubgB_dominant,Balanced
ENSCCRG00000047391,ENSCCRG00000034663,sf3b2,sf3b2,23,22,CAJNDQ010000007.1,CAJNDQ010000001.1,4674.54796470777,-0.58502113137028,0.0003477152877949,-0.256353456850851,0.171135111832051,SubgB_dominant,Balanced
ENSCCRG00000002930,ENSCCRG00000017871,vps9d1,vps9d1,16,17,CAJNDQ010000010.1,CAJNDQ010000020.1,315.978486058066,-0.585323800282566,0.0035261853866922,-0.91081964077961,8.78417280621381e-06,SubgB_dominant,SubgB_dominant
ENSCCRG00000051854,ENSCCRG00000052277,PPHLN1,PPHLN1,14,12,CAJNDQ010000037.1,CAJNDQ010000009.1,1677.36278046515,-0.58682871415322,3.99374030966998e-05,-0.565141909075845,0.0001061037206484,SubgB_dominant,Balanced
ENSCCRG00000040577,ENSCCRG00000044255,baz1b,baz1b,20,20,CAJNDQ010000010.1,CAJNDQ010000020.1,3128.3988269724,-0.587198687051802,0.0028608929439891,-0.317107410101436,0.149251463982599,SubgB_dominant,Balanced
ENSCCRG00000077029,ENSCCRG00000035199,rab22a,rab22a,8,8,CAJNDQ010000017.1,CAJNDQ010000011.1,332.934108026763,-0.588732652133547,0.0059674712389747,-0.735766229232054,0.0004741765138975,SubgB_dominant,SubgB_dominant
ENSCCRG00000016088,ENSCCRG00000058978,zgc:77151,zgc:77151,11,10,CAJNDQ010000039.1,CAJNDQ010000046.1,1201.26071357512,-0.590319855725219,0.006743314453499,-0.383566884093034,0.107745486716668,SubgB_dominant,Balanced
ENSCCRG00000045020,ENSCCRG00000006645,,,30,30,CAJNDQ010000019.1,CAJNDQ010000049.1,581.210421634553,-0.592090976571692,0.0065611308896384,-0.1312553572919,0.621879859800913,SubgB_dominant,Balanced
ENSCCRG00000076481,ENSCCRG00000019969,ppp2cb,ppp2cb,7,8,CAJNDQ010000033.1,CAJNDQ010000025.1,3153.32300300667,-0.59242466164725,0.0001448457813611,-0.173524863900533,0.36334507962197,SubgB_dominant,Balanced
ENSCCRG00000049169,ENSCCRG00000068099,znf800a,znf800a,7,7,CAJNDQ010000034.1,CAJNDQ010000038.1,1044.23040408787,-0.593435556832837,0.0192294285397898,0.117256590794403,0.739713279530578,SubgB_dominant,Balanced
ENSCCRG00000007707,ENSCCRG00000058781,,,10,9,CAJNDQ010000008.1,CAJNDQ010000016.1,745.610778223385,-0.595152418560566,0.007753496436682,-0.279108068037802,0.278095101368495,SubgB_dominant,Balanced
ENSCCRG00000063964,ENSCCRG00000074866,trim71,trim71,4,4,CAJNDQ010000003.1,CAJNDQ010000048.1,1294.57790290761,-0.597878649082716,0.0005097808809687,-0.4244997575121,0.0229097378763586,SubgB_dominant,Balanced
ENSCCRG00000062446,ENSCCRG00000058141,mob2b,mob2b,5,6,CAJNDQ010000010.1,CAJNDQ010000020.1,481.021775814833,-0.601123221748888,0.0196356967492763,0.066729187108347,0.856817064434298,SubgB_dominant,Balanced
ENSCCRG00000016192,ENSCCRG00000016131,,,31,24,CAJNDQ010000043.1,CAJNDQ010000014.1,1375.56581048121,-0.601734414905522,0.0003833745159754,-0.286543119323879,0.135436635693974,SubgB_dominant,Balanced
ENSCCRG00000026881,ENSCCRG00000059520,katnb1,katnb1,21,29,CAJNDQ010000007.1,CAJNDQ010000001.1,1494.35480766188,-0.602397581408872,8.67298324999827e-06,-0.572321285656632,3.16084568468042e-05,SubgB_dominant,Balanced
