geneID_sgA,geneID_sgB,geneName_sgA,geneName_sgB,exonCountA,exonCountB,chrom_sgA,chrom_sgB,baseMean,log2FoldChange_S11_Lsom,padj_S11_Lsom,log2FoldChange_S12_Prehatch,padj_S12_Prehatch,Bias_Magnitude_LSom,Bias_Magnitude_Prehatch
ENSCCRG00000025479,ENSCCRG00000041181,,,27,25,CAJNDQ010000007.1,CAJNDQ010000001.1,531.219072808631,4.39084082652557,2.06044795661962e-18,1.91694639554092,0.0001078102772347,Extreme_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000010881,ENSCCRG00000082337,map7d2a,map7d2a,17,18,CAJNDQ010000008.1,CAJNDQ010000016.1,825.06604366497,4.38131447487568,1.98356333894844e-64,1.14654573136178,1.5071826429889e-15,Extreme_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000019872,ENSCCRG00000052523,slmapb,slmapb,20,10,CAJNDQ010000012.1,CAJNDQ010000050.1,878.407551817898,4.34507776449225,1.96049157629253e-46,0.810389161974596,0.0045739485529641,Extreme_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000034385,ENSCCRG00000031234,zgc:158403,zgc:158403,19,19,CAJNDQ010000004.1,CAJNDQ010000002.1,478.886365965103,4.25875316882264,1.0819474821841701e-23,1.69569350868503,8.626201753704111e-09,Extreme_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000009225,ENSCCRG00000011741,zufsp,zufsp,18,13,CAJNDQ010000003.1,CAJNDQ010000048.1,838.221984645007,3.9176911878514,1.13588469608154e-75,1.80170486270247,2.1982716972889204e-15,Extreme_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000075012,ENSCCRG00000004155,,,13,9,CAJNDQ010000010.1,CAJNDQ010000020.1,291.443620286638,3.89397923119438,1.48650074082714e-38,1.44980067751002,2.79967643706877e-13,Extreme_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000023053,ENSCCRG00000028133,,,17,17,CAJNDQ010000004.1,CAJNDQ010000002.1,459.18937983953,3.88099011912822,4.28117360421966e-48,1.27201632399741,5.05370734896092e-06,Extreme_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000003193,ENSCCRG00000004395,,,28,27,CAJNDQ010000045.1,CAJNDQ010000026.1,269.526289499462,3.77911079138662,1.16761426726737e-22,1.21254211621875,0.0014866739840688,Extreme_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000029124,ENSCCRG00000028587,,,13,16,CAJNDQ010000039.1,CAJNDQ010000046.1,392.950028130317,3.73364914440066,8.47434617614826e-14,1.39649190173246,0.0075662083293431,Extreme_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000080302,ENSCCRG00000010452,rnd1a,rnd1a,5,5,CAJNDQ010000012.1,CAJNDQ010000050.1,311.952292659733,3.54413658511528,1.52849895109065e-16,1.81531712925285,5.73372579197934e-05,Extreme_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000056806,ENSCCRG00000057942,lgmn,lgmn,14,14,CAJNDQ010000019.1,CAJNDQ010000049.1,3403.46834579422,3.48736745179808,5.654556061484101e-118,0.789439324145474,1.36334123217141e-07,Extreme_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000040660,ENSCCRG00000039031,ADAMTS9,ADAMTS9,29,39,CAJNDQ010000043.1,CAJNDQ010000014.1,597.628498753728,3.39906569181285,1.3379248230139199e-49,1.89852418668434,1.00054296141503e-17,Extreme_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000004856,ENSCCRG00000022938,serpine2,serpine2,9,10,CAJNDQ010000040.1,CAJNDQ010000027.1,1536.78790706818,3.39894893098959,1.1012805621411e-35,1.01375720545373,0.000627635595828,Extreme_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000079768,ENSCCRG00000049690,,,9,8,CAJNDQ010000042.1,CAJNDQ010000047.1,198.208509339436,3.29545611850965,8.77272662352252e-10,1.74784748641373,0.0009836415982601,Extreme_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000044049,ENSCCRG00000044186,appb,appb,17,17,CAJNDQ010000042.1,CAJNDQ010000047.1,490.682323081664,3.24094691023885,3.97608876879903e-30,1.66934536943019,5.442525902424951e-09,Extreme_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000039776,ENSCCRG00000029139,rufy3,rufy3,19,19,CAJNDQ010000008.1,CAJNDQ010000016.1,667.627212496149,3.19719564569586,3.76621199588304e-51,1.06607716218742,1.02419360665058e-06,Extreme_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000031991,ENSCCRG00000031052,,,20,21,CAJNDQ010000034.1,CAJNDQ010000038.1,207.96677495209,3.18820109369027,6.27794334931145e-16,1.1302157424402,0.0066647905727129,Extreme_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000010184,ENSCCRG00000046719,zgc:154046,zgc:154046,15,16,CAJNDQ010000018.1,CAJNDQ010000024.1,276.936179138198,3.17192050258757,1.4573941858707598e-30,1.87643939340731,5.28238621772318e-15,Extreme_SubgA_Dom,Moderate_SubgA_Dom
ENSCCRG00000050964,ENSCCRG00000048347,,,16,16,CAJNDQ010000039.1,CAJNDQ010000046.1,436.983882477543,3.14649744425806,4.600868566609521e-09,1.95256763111006,0.0005217526008469,Extreme_SubgA_Dom,Moderate_SubgA_Dom
