geneID_sgA,geneID_sgB,geneName_sgA,geneName_sgB,exonCountA,exonCountB,chrom_sgA,chrom_sgB,baseMean,log2FoldChange_S11_Lsom,padj_S11_Lsom,log2FoldChange_S12_Prehatch,padj_S12_Prehatch,Bias_Magnitude_LSom,Bias_Magnitude_Prehatch
ENSCCRG00000063902,ENSCCRG00000072292,P2RY6,P2RY6,2,2,CAJNDQ010000010.1,CAJNDQ010000020.1,172.470037792191,2.42622995625473,1.63908551325142e-07,-2.19642157791699,7.01356336112375e-06,Strong_SubgA_Dom,Strong_SubgB_Dom
ENSCCRG00000032193,ENSCCRG00000062031,,,12,12,CAJNDQ010000043.1,CAJNDQ010000014.1,270.006416873931,1.70078317574878,0.0081441936947318,-2.13062811159775,0.0018942056298122,Moderate_SubgA_Dom,Strong_SubgB_Dom
ENSCCRG00000006979,ENSCCRG00000055190,gdpd1,gdpd1,11,11,CAJNDQ010000040.1,CAJNDQ010000027.1,245.405763902476,0.270300278121911,0.750516282178994,-2.09294340279873,0.001801367896822,No_Significant_Bias,Strong_SubgB_Dom
ENSCCRG00000035984,ENSCCRG00000020588,IRAG1,IRAG1,40,32,CAJNDQ010000007.1,CAJNDQ010000001.1,359.418819987823,0.0037252932651253,0.998435633761198,-2.39390435928733,0.0003401934637846,No_Significant_Bias,Strong_SubgB_Dom
ENSCCRG00000026525,ENSCCRG00000020305,,,34,34,CAJNDQ010000033.1,CAJNDQ010000025.1,771.808680903465,-0.238808183229058,0.348359304685894,-2.14970624275612,3.5143314066638805e-21,No_Significant_Bias,Strong_SubgB_Dom
ENSCCRG00000058433,ENSCCRG00000042724,ARHGEF28,ARHGEF28,36,37,CAJNDQ010000008.1,CAJNDQ010000016.1,215.19556059662,-0.304577575767977,0.451224550169964,-2.40387868326094,1.11316993299263e-13,No_Significant_Bias,Strong_SubgB_Dom
ENSCCRG00000078152,ENSCCRG00000065798,mat2aa,mat2aa,10,11,CAJNDQ010000033.1,CAJNDQ010000025.1,1960.81760365861,-0.394862151200275,0.05752256374261,-2.02495567309649,4.03773974972241e-28,No_Significant_Bias,Strong_SubgB_Dom
ENSCCRG00000046525,ENSCCRG00000029201,gltpd2b,gltpd2b,5,5,CAJNDQ010000008.1,CAJNDQ010000016.1,287.443490178164,-0.424299752698068,0.254925156252685,-2.34034242529278,3.1877398420441e-13,No_Significant_Bias,Strong_SubgB_Dom
ENSCCRG00000041608,ENSCCRG00000004927,,,10,9,CAJNDQ010000040.1,CAJNDQ010000027.1,525.310489174398,-0.846003935369993,0.0354668513327364,-2.33309738898505,9.13021715029197e-10,Moderate_SubgB_Dom,Strong_SubgB_Dom
ENSCCRG00000023666,ENSCCRG00000032436,pmm2,pmm2,9,9,CAJNDQ010000023.1,CAJNDQ010000028.1,304.12378425635,-0.907548955546154,0.153692799893834,-2.36957722959152,4.93796777406778e-05,No_Significant_Bias,Strong_SubgB_Dom
ENSCCRG00000046672,ENSCCRG00000048684,,,23,24,CAJNDQ010000015.1,CAJNDQ010000041.1,817.311020652416,-0.978580945516203,7.29136880284244e-05,-2.2466011026644,3.20068653402944e-21,Moderate_SubgB_Dom,Strong_SubgB_Dom
ENSCCRG00000068253,ENSCCRG00000022759,tdrd6,tdrd6,16,16,CAJNDQ010000029.1,CAJNDQ010000035.1,977.040583678248,-1.0091000253458,0.0006547381087638,-2.14352587790338,2.08527673876387e-08,Moderate_SubgB_Dom,Strong_SubgB_Dom
ENSCCRG00000081705,ENSCCRG00000010567,zgc:162879,zgc:162879,17,17,CAJNDQ010000010.1,CAJNDQ010000020.1,6477.55932300301,-1.03725227207936,0.003103827423443,-2.067087204364,9.18985942829998e-08,Moderate_SubgB_Dom,Strong_SubgB_Dom
ENSCCRG00000044683,ENSCCRG00000041503,,,12,12,CAJNDQ010000008.1,CAJNDQ010000016.1,533.600767664981,-1.0616190110092,9.76999655390203e-05,-2.03263705966763,5.77805210356811e-13,Moderate_SubgB_Dom,Strong_SubgB_Dom
ENSCCRG00000000199,ENSCCRG00000081298,trpm4a,trpm4a,28,29,CAJNDQ010000004.1,CAJNDQ010000002.1,510.57189231475,-1.0785789234263,0.295114768713595,-2.34707906099713,0.0139981428538589,No_Significant_Bias,Strong_SubgB_Dom
ENSCCRG00000052631,ENSCCRG00000038404,slx9,slx9,6,6,CAJNDQ010000044.1,CAJNDQ010000006.1,257.030065722552,-1.09168308766258,0.0277928756000585,-2.37702728397394,6.37204127377133e-07,Moderate_SubgB_Dom,Strong_SubgB_Dom
ENSCCRG00000074301,ENSCCRG00000034299,med22,med22,4,5,CAJNDQ010000008.1,CAJNDQ010000016.1,188.07993168478,-1.15888905177015,7.23919862938686e-05,-2.14740281873755,1.24857902624555e-13,Moderate_SubgB_Dom,Strong_SubgB_Dom
ENSCCRG00000003115,ENSCCRG00000017095,fn1b,fn1b,46,48,CAJNDQ010000023.1,CAJNDQ010000028.1,970.174682751395,-1.16385332686674,0.143946062999118,-2.88854883309911,7.51592625451822e-05,No_Significant_Bias,Strong_SubgB_Dom
ENSCCRG00000049849,ENSCCRG00000032722,SLC39A5,SLC39A5,13,14,CAJNDQ010000012.1,CAJNDQ010000050.1,843.413049088383,-1.17206016897743,0.00016079059385,-2.03923612532944,1.82403530954344e-11,Moderate_SubgB_Dom,Strong_SubgB_Dom
ENSCCRG00000074095,ENSCCRG00000046304,slc35a5,slc35a5,10,7,CAJNDQ010000042.1,CAJNDQ010000047.1,478.01338613393,-1.22335383297505,0.0006508497671683,-2.27509276672161,5.563324876210191e-10,Moderate_SubgB_Dom,Strong_SubgB_Dom
ENSCCRG00000058703,ENSCCRG00000054067,atp1b3a,atp1b3a,7,7,CAJNDQ010000022.1,CAJNDQ010000030.1,1074.21345441946,-1.26636493357327,0.0039291467858815,-2.58740496551452,1.2261965093924302e-09,Moderate_SubgB_Dom,Strong_SubgB_Dom
ENSCCRG00000081347,ENSCCRG00000016213,nipsnap3a,nipsnap3a,12,7,CAJNDQ010000021.1,CAJNDQ010000036.1,245.366093245552,-1.28702594181003,0.0039741228429384,-2.93275974558395,8.92023151106692e-12,Moderate_SubgB_Dom,Strong_SubgB_Dom
