geneID_sgA,geneID_sgB,geneName_sgA,geneName_sgB,exonCountA,exonCountB,chrom_sgA,chrom_sgB,baseMean,log2FoldChange_S11_Lsom,padj_S11_Lsom,log2FoldChange_S12_Prehatch,padj_S12_Prehatch,Bias_Magnitude_LSom,Bias_Magnitude_Prehatch
ENSCCRG00000062764,ENSCCRG00000033903,,CLCN6,26,23,CAJNDQ010000018.1,CAJNDQ010000024.1,1028.97405474112,-2.00154791900718,3.5514431622497004e-26,-1.75410864425977,5.2409046420123304e-21,Strong_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000032594,ENSCCRG00000072822,,,20,21,CAJNDQ010000010.1,CAJNDQ010000020.1,772.858486438247,-2.00260517411875,7.80958387811337e-08,-1.01489289689243,0.0101761208405015,Strong_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000048275,ENSCCRG00000017081,idh3b,idh3b,12,11,CAJNDQ010000039.1,CAJNDQ010000046.1,643.458224133531,-2.00632268118212,1.31217457415092e-22,-1.28649922697382,6.064662376881731e-10,Strong_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000000451,ENSCCRG00000001260,crabp2a,crabp2a,6,4,CAJNDQ010000003.1,CAJNDQ010000048.1,790.843601638806,-2.00985422310007,3.20466788195091e-21,-1.65987443434436,1.89262439155218e-14,Strong_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000009355,ENSCCRG00000055981,ches1,ches1,6,7,CAJNDQ010000029.1,CAJNDQ010000035.1,471.275146911657,-2.01017733491105,4.93130386499022e-25,-1.0315653412636,3.73809117119671e-07,Strong_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000013821,ENSCCRG00000000597,clgn,clgn,15,15,CAJNDQ010000023.1,CAJNDQ010000028.1,786.376445352394,-2.01087010605132,2.57693447336505e-23,-0.792038898990325,0.0001645041179071,Strong_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000016783,ENSCCRG00000017907,,,32,31,CAJNDQ010000012.1,CAJNDQ010000050.1,243.638949948369,-2.01594116198751,5.818020126818901e-16,-2.0271463402908,2.3180935213234e-16,Strong_SubgB_Dom,Strong_SubgB_Dom
ENSCCRG00000036312,ENSCCRG00000049151,cav3,cav3,3,2,CAJNDQ010000017.1,CAJNDQ010000011.1,167.837090141945,-2.01644439075161,6.37618640406557e-05,-1.55697163914943,0.0027264264576382,Strong_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000018012,ENSCCRG00000030341,trpm6,trpm6,41,40,CAJNDQ010000008.1,CAJNDQ010000016.1,221.031983605046,-2.01653513463392,1.16421658968426e-07,-0.866513015055438,0.0380602992961732,Strong_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000002551,ENSCCRG00000082236,wbp1lb,wbp1lb,10,5,CAJNDQ010000023.1,CAJNDQ010000028.1,166.842115628896,-2.02281012407049,0.0004350899968795,-2.67773098121726,3.35988165806077e-06,Strong_SubgB_Dom,Strong_SubgB_Dom
ENSCCRG00000019038,ENSCCRG00000073395,anks3,anks3,17,19,CAJNDQ010000015.1,CAJNDQ010000041.1,865.88185121537,-2.03052130534052,1.43832595551809e-23,-1.99742228816243,5.73064396055549e-22,Strong_SubgB_Dom,Moderate_SubgB_Dom
ENSCCRG00000045243,ENSCCRG00000069373,acvr2ba,acvr2ba,11,10,CAJNDQ010000015.1,CAJNDQ010000041.1,495.464618665942,-2.03062344905079,1.41116476414819e-16,-2.59587435699701,1.79243876741399e-26,Strong_SubgB_Dom,Strong_SubgB_Dom
ENSCCRG00000037991,ENSCCRG00000081145,fam177a1,fam177a1,7,5,CAJNDQ010000005.1,CAJNDQ010000031.1,354.361268551728,-2.03534918369996,2.36039734462431e-12,-2.00688730724651,7.81925938252597e-12,Strong_SubgB_Dom,Strong_SubgB_Dom
ENSCCRG00000041487,ENSCCRG00000029404,hddc2,hddc2,6,6,CAJNDQ010000029.1,CAJNDQ010000035.1,419.655239862225,-2.03785760093481,1.62815718795658e-10,-2.47202630769418,5.0597952341219205e-15,Strong_SubgB_Dom,Strong_SubgB_Dom
ENSCCRG00000060138,ENSCCRG00000013452,rell1,rell1,7,8,CAJNDQ010000007.1,CAJNDQ010000001.1,712.137167167743,-2.03924533781671,4.37179672216269e-07,-1.59290950013084,0.0001006478874584,Strong_SubgB_Dom,Moderate_SubgB_Dom
